dm_desc	frequency
Copper amine oxidase, domains 1 and 2	164
RBP2	162
Methionine gamma-lyase, MGL	162
Nucleoprotein	162
Ribonuclease A (also ribonuclease B, S)	161
GA coat protein	161
Serum amyloid P component (SAP)	161
cH-p21 Ras protein	160
Protein kinase CK2, alpha subunit	160
c-src tyrosine kinase	160
Diphthine synthase, DphB	159
Succinate dehydogenase	159
2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase IspF	158
Prokaryotic (50S subunit)	158
Nicotinamide nucleotide transhydrogenase dI component	156
5'-fluoro-5'-deoxyadenosine synthase	156
RNA polymerase alpha subunit	156
HslU	156
RNA polymerase alpha	155
Cyclophilin (eukaryotic)	153
Aspartate beta-semialdehyde dehydrogenase	152
Urate oxidase (uricase)	152
Mannose-specific adhesin FimH, N-terminal domain	151
Neutrophil gelatinase-associated lipocalin (NGAL)	151
Translation initiation factor eIF4e	150
F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD)	150
Methylamine dehydrogenase	150
Streptococcal pyrogenic exotoxin A1	148
Cystathionine gamma-synthase, CGS	148
Potassium channel protein	148
1-aminocyclopropane-1-carboxylate deaminase	146
MS2 virus coat protein	144
Pyranose 2-oxidase	144
p53 tumor suppressor, DNA-binding domain	143
Cytochrome b559 subunit alpha, PsbE	143
3-deoxy-D-arabino-heptulosonate-7-phosphate synthase (DAHP synthase, AroG)	142
beta-Lactamase, class A	141
Phage T4 lysozyme	141
MAP kinase activated protein kinase 2, mapkap2	141
U5 small nuclear riboprotein particle assembly factor Aar2 N-terminal domain	140
Bacteriophage T4 3D cryo-EM reconstruction	140
Acetyl xylan esterase TM0077	140
U5 small nuclear riboprotein particle assembly factor Aar2 C-terminal domain	140
Aspartate aminotransferase, AAT	140
Chorismate mutase	138
Retinoid-X receptor alpha (RXR-alpha)	138
Isocitrate lyase	138
D-glucarate dehydratase	136
Bacteriophytochrome BphP	136
Quinone reductase type 2 (menadione reductase)	136
beta-Tryptase	135
Nitrogenase iron protein	135
Sm-Like archaeal protein Smap3	134
Polyomavirus coat proteins	134
Creatininase	134
Glutamate decarboxylase beta, GadB	132
Molybdate/tungstate binding protein MOP	132
Cre recombinase	132
Diacylglycerol kinase (DgkA)	132
Mannose-binding protein A	132
Cell-division protein FtsZ	132
Dihydroorotate dehydrogenase	131
ADP ribosyl cyclase	130
Substrate-binding domain of HMG-CoA reductase	130
Upper collar protein gp10 (connector protein)	130
Inorganic pyrophosphatase	130
TNF receptor associated factor 2 (TRAF2)	130
Fibrinogen alpha chain	130
NAD-binding domain of HMG-CoA reductase	130
TRAF2	130
Tubulin beta-subunit	129
Zn-dependent arginine carboxypeptidase	128
Immunoglobulin light chain lambda constant domain, CL-lambda	128
HSP90	127
Alpha-hemolysin	126
Histidine decarboxylase	126
Collagenase-3 (MMP-13)	125
HIV RNase H (Domain of reverse transcriptase)	125
Factor D	125
Vascular endothelial growth factor, VEGF	125
Dihydrodipicolinate synthase	124
NAD(P)H:quinone reductase	124
Photosystem II	124
Trp synthase alpha-subunit	124
Dihydrofolate reductase, prokaryotic type	123
Archaeal fructose 1,6-bisphosphate aldolase	123
Retroviral integrase, catalytic domain	123
Chymosin (synonym: renin)	122
Retrovius gp41 protease-resistant core	122
Seed storage 7S protein	122
RNA-polymerase beta-prime	121
Ribosomal protein L3	121
E1-beta subunit of pyruvate dehydrogenase, C-domain	121
NADP-dependent isocitrate dehydrogenase	120
Carbamoyl phosphate synthetase, large subunit connection domain	120
Carbamoyl phosphate synthetase, large subunit allosteric, C-terminal domain	120
DNA polymerase lambda	120
Synaptosomal-associated protein SNAP-25	120
Naphthoate synthase MenB	120
STNV coat protein	120
Carbamoyl phosphate synthetase (CPS), large subunit ATP-binding domains	120
Galectin-1	120
Class D beta-lactamase	120
Carbamoyl phosphate synthetase (CPS), large subunit PreATP-grasp domains	120
Isolated insulin B-chain	119
Triacylglycerol lipase	118
GDP-mannose 4,6-dehydratase	118
Methane monooxygenase hydrolase, gamma subunit	118
Tryptophanyl-tRNA synthetase (TrpRS)	117
Mitochondrial cytochrome c oxidase subunit VIIb	116
Carbon dioxide concentrating mechanism protein CcmL	116
Argininosuccinate lyase/delta-crystallin	116
Catalase-peroxidase KatG	115
Methylmalonyl CoA decarboxylase	114
Decameric fructose-6-phosphate aldolase/transaldolase	114
Fibrinogen gamma chain	114
Barnase	112
PrgX	112
Dissimilatory sulfite reductase subunit beta, DsrB	112
Mammalian carboxylesterase (liver carboxylesterase I)	112
GroE chaperon	112
Acidic FGF (FGF1)	112
Protozoan/bacterial hemoglobin	112
PA N-terminal domain	112
Uracil PRTase, Upp	110
NTPase P4	110
Zn metallo-beta-lactamase	109
Glycogen synthase kinase-3 beta (Gsk3b)	109
Ribosomal protein L23	107
Botulinum neurotoxin	107
Limonene-1,2-epoxide hydrolase	106
Glucosylceramidase, catalytic domain	106
Glucosylceramidase	106
Cut A1	106
Beta-glucosidase A	106
E1-beta subunit of pyruvate dehydrogenase (PP module)	105
Chloramphenicol acetyltransferase, CAT	105
Amicyanin	105
N-acylamino acid racemase	104
Fucose-binding lectin II (PA-LII)	104
Cucumovirus coat protein	104
Methyl-coenzyme M reductase gamma chain	103
Integrin alpha N-terminal domain	103
RANTES (regulated upon activation, normal T-cell expressed and secreted)	102
Pantothenate synthetase (Pantoate-beta-alanine ligase, PanC)	102
C-terminal domain of arginine repressor	102
Hemoglobin I	102
Photosystem II reaction center protein Z, PsbZ	102
Tricorn protease domain 2	102
Proliferating cell nuclear antigen (PCNA)	102
Tricorn protease N-terminal domain	102
Phycocyanin beta subunit	102
Low affinity immunoglobulin epsilon Fc receptor	101
Alkaline phosphatase	101
Cystic fibrosis transmembrane conductance regulator, CFTR, nucleotide-binding domain	101
AP1 clathrin adaptor core	100
Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase)	100
6-phospho-beta-glucosidase	100
Cyanase C-terminal domain	100
Cyanase N-terminal domain	100
7,8-dihydro-8-oxoguanine triphosphatase Hmth1	100
Immunoglobulin-binding protein G, different constituent domains	99
Glycosylasparaginase (aspartylglucosaminidase, AGA)	98
Boiling stable protein 1	98
Fibroblast growth factor receptor 1	98
Hypoxanthine-guanine PRTase (HGPRTase)	98
Glycogen phosphorylase	98
Enoyl-CoA hydratase (crotonase)	96
Myo-inositol 1-phosphate synthase	96
Factor X, N-terminal module	96
Argininosuccinate synthetase, N-terminal domain	96
Deoxycytidine kinase	96
E2 spike glycoprotein	96
Cytochrome bc1 core subunit 2	96
Hypothetical protein YhfP	96
Argininosuccinate synthetase, C-terminal domain	96
Staphylococcal enterotoxin B, SEB	96
Arginine decarboxylase	96
Fibrinogen beta chain	96
5'-deoxy-5'-methylthioadenosine phosphorylase	96
Beta-ketoacyl-ACP synthase I, C-terminal domain	95
Beta-ketoacyl-ACP synthase I, N-terminal domain	95
B-cell lymphoma 6 (Bcl6) protein BTB domain	95
Son of sevenless protein homolog 1 (sos-1)	94
Myeloperoxidase	94
Thioredoxin peroxidase 2 (thioredoxin peroxidase B, 2-cys peroxiredoxin)	94
Glycine N-methyltransferase	94
HPr kinase HprK C-terminal domain	94
Pyrrolidone carboxyl peptidase (pyroglutamate aminopeptidase)	94
Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	93
Cytochrome c peroxidase, CCP	93
Radixin	93
Photosystem II reaction center protein T, PsbT	92
Diol dehydratase, alpha subunit	92
Ornithine transcarbamoylase	92
Dihydrodipicolinate reductase	92
D-hydantoinase	92
Phosphopantetheine adenylyltransferase	92
Prostaglandin H2 synthase-1, EGF-like module	91
Prostaglandin H2 synthase	91
Manganese catalase (T-catalase)	91
Collagen-like peptides	91
Putative glucosidase YicI, domain 3	90
Xenobiotic acetyltransferase	90
Precorrin-6Y methyltransferase (CbiT)	90
p53 tetramerization domain	90
Acetohydroxyacid synthase catalytic subunit	90
Tryptophan synthase, beta-subunit	90
Dihydropteroate synthetase	90
CRISPR-associated protein Cas3	90
Putative glucosidase YicI, C-terminal domain	90
Small heat shock protein	90
Putative glucosidase YicI, N-terminal domain	90
Sigma70	90
Lysine-specific histone demethylase 1, LSD1	90
Putative glucosidase YicI, domain 2	90
CD1, alpha-3 domain	89
Ribosomal protein L14	89
Tobacco mosaic virus coat protein	88
Deblocking aminopeptidase YhfE	88
UBA3	88
Photosystem II 12 kDa extrinsic protein PsbU	88
Bifunctional enzyme dihydrofolate reductase-thymidylate synthase, TS domain	88
Photosystem II reaction center protein H, PsbH	88
NS3 protease	88
Ribonucleotide reductase R2	87
beta-keto acyl carrier protein reductase	86
cAMP-dependent PK, catalytic subunit	86
N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)	86
Squalene-hopene cyclase	86
Branched-chain aminoacid aminotransferase	86
Caspase-8	86
Stress sensor protease DegS, catalytic domain	86
ADP-ribosylation factor	85
ARPC4 (20 kDa subunit)	85
Insulin-like growth factor 1 receptor	85
Hypothetical protein YdiI	84
PII (product of glnB)	84
Photosystem II reaction center protein K, PsbK	84
Shikimate 5-dehydrogenase AroE	84
Bifunctional enzyme dihydrofolate reductase-thymidylate synthase, DFR domain	84
Succinate dehydogenase iron-sulfur protein, N-terminal domain	84
Halohydrin dehalogenase HheC	84
Eukaryotic, mitochondrial (54S or 39S subunit)	84
Melibiase	84
Phosphotriesterase (parathion hydrolase, PTE)	84
Chitinase 1	84
RuBisCo chaperone RbcX	83
Casein kinase-1, CK1	82
14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	82
Apopain (caspase-3, cpp32)	82
Thymidine kinase	82
Light-harvesting complex subunits	82
alpha-Subunit of urease	82
alpha-subunit of urease, catalytic domain	82
Peptide deformylase	82
ssDNA-binding protein	82
Ribosomal protein L13	81
Glucose-fructose oxidoreductase	80
Glucose-fructose oxidoreductase, N-terminal domain	80
HRSV fusion protein core	80
Sus1	80
2-oxo-1,2-dihydroquinoline 8-monooxygenase, oxygenase component OxoO	80
Clc chloride channel	80
Dissimilatory sulfite reductase subunit alpha, DsrA	80
Macrophage inflammatory protein, MIP	80
Protein phosphatase-1 (PP-1)	80
Estrogen receptor beta	80
Xanthine-guanine PRTase (XPRTase)	80
Potassium channel-related protein MthK	80
CheY protein	79
Photosynthetic reaction centre (cytochrome subunit)	79
Coagulation factor Xa, protease domain	79
Type III pantothenate kinase, CoaX	78
7,8-dihydroneopterin aldolase	78
Exosome complex exonuclease 2, ECX2	78
E1-beta subunit of pyruvate dehydrogenase, Pyr module	78
Exosome complex exonuclease 2,ECX2	78
Cytochrome P450-CAM	77
D-maltodextrin-binding protein, MBP	77
Microtubule-associated protein EB1, C-terminal dimerization domain	77
Tyrosinase cofactor MelC1	77
4-aminobutyrate aminotransferase, GABA-aminotransferase	76
Anthranilate phosphoribosyltransferase (TrpD)	76
Phosphoglycerate dehydrogenase	76
L-Ala-D/L-Glu epimerase	76
Tyrosyl-DNA phosphodiesterase TDP1	76
Propionyl-CoA carboxylase complex B subunit, PccB	76
3-Methyladenine DNA glycosylase II (gene alkA or aidA)	76
RPB11	75
Cytochrome c552	75
Cytochrome c550	75
6-oxo camphor hydrolase	74
ATP-dependent protease Lon (La), catalytic domain	74
Bacterial conjugative coupling protein TrwB	74
Ribosomal protein L7/12, oligomerisation (N-terminal) domain	74
Geranylgeranyl pyrophosphate synthetase	74
Serine hydroxymethyltransferase	74
Transducin (alpha subunit), insertion domain	73
Transducin (alpha subunit)	73
Dipeptidyl peptidase I (cathepsin C), exclusion domain	72
Terminal oxygenase component of carbazole CarAa	72
Succinyl-CoA synthetase, beta-chain, C-terminal domain	72
Nucleosidase PpnN	72
N-acetyl-gamma-glutamyl-phosphate reductase ArgC	72
Yeast prion protein ure2p, nitrogen regulation fragment	72
RPE65	72
beta-hexosaminidase B, N-terminal domain	72
Fumarate reductase iron-sulfur protein, N-terminal domain	72
Agmatinase	72
Mandelate racemase	72
Succinyl-CoA synthetase, beta-chain, N-terminal domain	72
Photosystem Q(B) protein 1, PsbA1	72
Formylmethanofuran:tetrahydromethanopterin formyltransferase	72
GTP cyclohydrolase I feedback regulatory protein, GFRP	71
DNA repair protein Rad51, catalytic domain	71
Porin	71
Acetyl-CoA:deacetylcephalosporin C acetyltransferase CefG	70
Nedd8	70
Orotidine 5'-monophosphate decarboxylase (OMP decarboxylase)	70
L-rhamnulose-1-phosphate aldolase	70
Assembly domain of cartilage oligomeric matrix protein	70
Urokinase-type plasminogen activator (LMW U-PA), catalytic domain	70
Immunoglobulin-binding protein A modules	70
Cephalosporin hydroxylase CmcI	70
beta-hexosaminidase B	70
Membrane fusion atpase p97 domain 2, P97-Nc	70
Membrane fusion ATPase p97 N-terminal domain , P97-Nn	70
Class B acid phosphatase, AphA	70
Thio-ester containing domain (TED) from Complement C3, aka C3d or C3dg	70
Extracellular region of human tissue factor	70
p53-binding protein 1, 53BP1, C-terminal domain	69
p53-binding protein 1, 53BP1, N-terminal domain	69
Filoviridae VP35	68
L-aminoacid oxidase	68
Oxysterols receptor LXR-beta	68
alpha-Lactalbumin	68
Sodium/potassium-transporting ATPase alpha chain	68
Putative dehydratase protein STM2273	68
Maltose transport protein MalK, N-terminal domain	68
Maltose transport protein MalK, C-terminal domain	68
Hypothetical protein YitF	68
Human enterovirus B coat proteins	67
Proteasome regulatory subunits PAN/Rpt coiled coil regions	67
DNA polymerase III, beta subunit	67
Methylglyoxal synthase, MgsA	66
D-Amino acid amidase DaaA	66
L-aspartate ammonia lyase	66
Glutaminyl-peptide cyclotransferase, QPCT	66
Surfactant protein, lectin domain	66
Phosphoribosyl-ATP pyrophosphatase HisE	66
D-aminoacid oxidase, N-terminal domain	66
D-aminoacid oxidase	66
70S ribosome functional complex	66
Pterin-4a-carbinolamine dehydratase (PCD)/dimerization cofactor of HNF1 (DCoH)	66
Transducin (heterotrimeric G protein), gamma chain	66
Gamma-glutamyltranspeptidase, GGT	66
Macrophage elastase (MMP-12)	66
Chorismate synthase, AroC	66
RBP12 subunit of RNA polymerase II	66
Rac	65
Spermidine synthase	65
CREB-binding protein, CBP	65
Serum albumin	65
RNA-polymerase beta	65
zeta isoform	65
Rab8a	65
Nickel responsive regulator NikR, C-terminal domain	65
Glycerol kinase	65
Trp repressor binding protein WrbA	65
DraA/Afimbrial adhesin Afa-III	65
Alkylmercury lyase MerB	64
Actin-related protein 3, Arp3	64
Vanillyl-alcohol oxidase	64
Staphylococcal enterotoxin C3, SEC3	64
Magnesium transport protein CorA	64
Transcriptional regulator LrpC	64
beta-hexosaminidase A	64
Uncharacterized protein EAJ56179	64
Phospholipase A2	64
Multidrug resistance protein MexA domain	64
Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b	64
Riboflavin biosynthesis protein RibD	64
Biotin carboxylase (BC), N-terminal domain	63
Biotin carboxylase (BC), C-domain	63
Hydroxynitrile lyase	62
Beta-D-xylosidase	62
Beta-D-xylosidase, catalytic domain	62
Lamprey globin	62
Nucleocapsid protein	62
N-acetylneuraminate lyase	62
Serine acetyltransferase	62
Nickel-binding periplasmic protein NikA	62
ATP-dependent phosphofructokinase	62
Biotin carboxylase (BC), domain 2	62
AKV capsid	62
Amyloid beta precursor protein-binding protein 1, APPBP1	62
RhoA	62
Low-specificity threonine aldolase	62
Thermosome, A-domain	62
Dynein light chain 1 (DLC1)	62
Oxygen-insensitive NAD(P)H nitroreductase	62
RNA polymerase subunit RPB10	62
RDV p8, central (top) domain	61
Cbl	60
Chitinase-3 like protein 1 (GP-39, YKL-40)	60
Sarcosine oxidase	60
Maltose transport system permease protein MalF	60
D-alanyl-D-alanine carboxypeptidase Dac	60
Putative NAG isomerase YihS	60
Ketopantoate hydroxymethyltransferase PanB	60
1-deoxy-D-xylulose-5-phosphate reductoisomerase	60
Ribokinase	60
Hypothetical protein TM1620	60
5-formaminoimidazole-4-carboxamide ribonucleotide synthetase PurP	60
Restriction endonuclease EcoRV	60
ATP synthase	60
Small nuclear ribonucleoprotein F, Smf	60
PRD1 capsid assembly	60
Cambialistic superoxide dismutase	60
Photosystem II reaction center protein I, PsbI	60
Dihydrofolate reductases, eukaryotic type	60
Growth factor receptor-bound protein 2 (GRB2)	60
Hypoxanthine PRTase	60
Gelsolin	59
Syntaxin 1A	59
Ribosomal protein S18	59
Ecotin, trypsin inhibitor	58
Toxic shock syndrome toxin-1 (TSST-1)	58
Hut operon positive regulatory protein HutP	58
Phosphoglycerate mutase	58
Peroxisome proliferator-activated receptor delta, PPAR-DELTA	58
Ribosomal protein L7ae	58
Bone morphogenetic protein-2 (BMP-2)	58
Ribosomal protein L37ae	58
ATX1 metallochaperone protein (ATOX1)	58
Bacteriorhodopsin	58
Naphthalene 1,2-dioxygenase alpha subunit, C-domain	58
Beta-D-xylosidase N-terminal domain	58
Beta-D-xylosidase C-terminal domain	58
Sepiapterin reductase	58
Barrier-to-autointegration factor, BAF	58
delta 9-stearoyl-acyl carrier protein desaturase	58
Fibroblast growth factor receptor, FGFR	57
Shiga toxin, A-chain	57
Biotin--[acetyl-CoA-carboxylase] ligase C-terminal domain	56
Biotin--[acetyl-CoA-carboxylase] ligase catalytic domain	56
Catabolite gene activator protein, N-terminal domain	56
Apoprotein a1, PsaA	56
Hemerythrin	56
FIS protein	56
Uridine-cytidine kinase 2	56
BTV vp7, central (top) domain	56
Papillomavirus large T antigen helicase domain	56
BTV vp7	56
Pyridoxine 5'-phosphate synthase	56
Pyrroline-5-carboxylate reductase ProC	56
Exonuclease domain of family B DNA polymerases	56
Proteasome activator reg(alpha)	56
Ribosomal protein S8	56
DsrB insert domain	56
dTDP-4-dehydrorhamnose 3,5-epimerase RmlC	56
Urokinase plasminogen activator surface receptor uPAR	55
Photosystem II reaction center protein M, PsbM	55
RDV p8	55
Phosphoglucose isomerase, PGI	55
Constant regulatory domain of protein phosphatase 2a, pr65alpha	55
Antithrombin	55
Programmed cell death protein 1, PD1, extracellular domain	55
Stromal cell-derived factor-1 (SDF-1)	55
Medium chain acyl-CoA dehydrogenase, C-domain	55
Membrane fusion ATPase VCP/p97	55
NADH-quinone oxidoreductase subunit 15, Nqo15	55
Medium chain acyl-CoA dehydrogenase, NM domains	55
Ligand-binding domain of neurexin 1beta	54
Succinate dehydrogenase subunit SdhD	54
Dihydropyrimidine dehydrogenase, domain 4	54
Dihydropyrimidine dehydrogenase, domain 3	54
Dihydropyrimidine dehydrogenase, domain 2	54
Dihydropyrimidine dehydrogenase, N-terminal domain	54
TGF-beta1	54
CcdB	54
Pyruvate decarboxylase	54
